Protocol,Packet_Count,Total_Bytes,Avg_PIAT,Label
89,2,152,10000.784158706665,0
17,2,134,5005.157947540283,0
17,2,146,5005.660057067871,0
17,2,158,5005.6610107421875,0
17,2,149,4859.65895652771,0
89,2,152,10000.785112380981,0
17,3,204,1927.106499671936,0
17,3,204,1424.131989479065,0
6,3,138,6543.93208026886,0
6,3,120,6539.919972419739,0
6,205,9430,9.842568752812404,0
6,130,5204,15.55331732875617,0
17,3,237,2502.829909324646,0
17,2,146,5005.158185958862,0
89,2,152,10000.783205032349,0
17,2,134,5005.157947540283,0
17,2,146,5005.159139633179,0
17,2,158,5005.659818649292,0
17,2,146,5005.660057067871,0
89,2,152,10000.783920288086,0
17,2,134,5005.1589012146,0
17,2,146,5005.660057067871,0
17,2,158,5005.660057067871,0
17,2,146,5006.16192817688,0
89,2,152,9999.77993965149,0
17,2,134,5003.150939941406,0
17,2,146,5005.660057067871,0
17,2,158,5005.660057067871,0
17,2,146,5005.659818649292,0
89,2,152,10000.784158706665,0
17,2,134,5005.157947540283,0
17,2,146,5005.159139633179,0
17,2,158,5005.658864974976,0
17,2,146,5005.159139633179,0
89,2,152,10016.336917877197,0
17,2,134,5001.143932342529,0
17,2,146,5005.158185958862,0
17,2,158,5005.659818649292,0
17,2,146,5005.6610107421875,0
89,2,152,10000.784158706665,0
17,2,134,5005.1589012146,0
17,2,146,5005.157947540283,0
17,2,158,5005.660057067871,0
17,2,146,5005.660057067871,0
89,2,152,10000.783920288086,0
17,2,134,5005.158185958862,0
17,2,146,5005.659818649292,0
17,2,158,5005.660057067871,0
17,2,146,5005.660057067871,0
89,2,152,10016.336917877197,0
17,2,134,5005.158185958862,0
17,2,146,5005.1589012146,0
17,2,158,5005.157947540283,0
17,2,146,5005.157947540283,0
89,2,152,10000.783920288086,0
17,2,134,5004.657030105591,0
17,2,146,5005.157947540283,0
17,2,158,5005.157947540283,0
17,2,146,5005.660057067871,0
89,2,152,10016.336917877197,0
17,2,134,5001.145124435425,0
17,2,146,5003.652811050415,0
17,2,158,5005.158185958862,0
17,2,146,5005.1589012146,0
89,2,152,10016.336917877197,0
17,2,134,5005.159139633179,0
17,2,146,5005.157947540283,0
17,2,158,5001.646041870117,0
17,2,146,5005.1589012146,0
89,2,152,10016.337156295776,0
17,2,134,5005.1589012146,0
17,2,146,5005.157947540283,0
17,2,158,5005.157947540283,0
17,2,146,5005.159139633179,0
89,2,152,9985.230922698975,0
17,2,134,5005.159139633179,0
17,2,146,5005.157947540283,0
1,3,252,1017.9895162582397,0
17,2,158,5005.157947540283,0
1,3,252,1001.6840696334839,0
1,7,588,505.48283259073895,0
1,3,252,1001.6840696334839,0
1,3,252,1003.1884908676147,0
17,2,146,5005.660057067871,0
1,3,252,1001.4330148696899,0
89,2,152,10016.336917877197,0
1,4,336,1005.781332651774,0
1,3,252,1001.4334917068481,0
17,2,134,5005.1589012146,0
17,2,146,5005.157947540283,0
